	question	equation
115	6, 3, 4, 9, 5  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([6, 3, <정수3, 9, 5]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
116	6, 5, 4, 3, 1  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([6, 5, <정수3, 3, 1]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
117	1, 6, 5, 7, 8  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([1, 6, <정수3, 7, 8]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
118	9, 8, 3, 1, 4  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([9, 8, <정수3, 1, 4]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
119	3, 6, 4, 8, 2  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([3, 6, <정수3, 8, 2]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
120	3, 8, 7, 5, 9  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([3, 8, <정수3, 5, 9]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
121	8, 4, 5, 7, 3  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([8, 4, <정수3, 7, 3]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
122	9, 7, 2, 3, 6  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([9, 7, <정수3, 3, 6]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
123	7, 3, 9, 5, 8  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([7, 3, <정수3, 5, 8]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
124	6, 5, 3, 9, 1  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([6, 5, <정수3, 9, 1]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
125	9, 1, 2, 7 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 두 자리 수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.	l = sorted([9, 1, 2, 7]\na = l[-1] * 10 + l[-2]\nb = l[0] * 10 + l[1]\nprint(a - b
126	1, 6, 9, 4 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 두 자리 수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.	l = sorted([1, 6, 9, 4]\na = l[-1] * 10 + l[-2]\nb = l[0] * 10 + l[1]\nprint(a - b
127	5, 8, 2, 7 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 두 자리 수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.	l = sorted([5, 8, 2, 7]\na = l[-1] * 10 + l[-2]\nb = l[0] * 10 + l[1]\nprint(a - b
128	6, 4, 8, 2 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 두 자리 수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.	l = sorted([6, 4, 8, 2]\na = l[-1] * 10 + l[-2]\nb = l[0] * 10 + l[1]\nprint(a - b
129	8, 4, 6, 7 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 두 자리 수 중에서 가장 큰 수와 가장 작은 수의 차를 구하시오.	l = sorted([8, 4, 6, 7]\na = l[-1] * 10 + l[-2]\nb = l[0] * 10 + l[1]\nprint(a - b
130	8, 6, 4, 7 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 큰 수와 가장 작은 수의 합를 구하시오.	l = sorted([8, 6, 4, 7]\na = l[-1] * 100 + l[-2] * 10 + l[-3]\nb = l[0] * 100  + l[1] * 10 + l[2]\nprint(a + b
131	2, 1, 6, 9 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 큰 수와 가장 작은 수의 합를 구하시오.	l = sorted([2, 1, 6, 9]\na = l[-1] * 100 + l[-2] * 10 + l[-3]\nb = l[0] * 100  + l[1] * 10 + l[2]\nprint(a + b
132	1, 2, 5, 7 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 큰 수와 가장 작은 수의 합를 구하시오.	l = sorted([1, 2, 5, 7]\na = l[-1] * 100 + l[-2] * 10 + l[-3]\nb = l[0] * 100  + l[1] * 10 + l[2]\nprint(a + b
133	3, 8, 5, 1 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 큰 수와 가장 작은 수의 합를 구하시오.	l = sorted([3, 8, 5, 1]\na = l[-1] * 100 + l[-2] * 10 + l[-3]\nb = l[0] * 100  + l[1] * 10 + l[2]\nprint(a + b
134	3, 7, 4, 5 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 큰 수와 가장 작은 수의 합를 구하시오.	l = sorted([3, 7, 4, 5]\na = l[-1] * 100 + l[-2] * 10 + l[-3]\nb = l[0] * 100  + l[1] * 10 + l[2]\nprint(a + b
135	8부터 7까지 자연수를 쓰려고 합니다. 숫자 3는 모두 몇 번 써야 합니까?	count = 0\nfor i in range(8, 7+1):\n    count += str(i).count('정수3>')\nprint(count)
136	7부터 6까지 자연수를 쓰려고 합니다. 숫자 8는 모두 몇 번 써야 합니까?	count = 0\nfor i in range(7, 6+1):\n    count += str(i).count('정수3>')\nprint(count)
137	8부터 2까지 자연수를 쓰려고 합니다. 숫자 7는 모두 몇 번 써야 합니까?	count = 0\nfor i in range(8, 2+1):\n    count += str(i).count('정수3>')\nprint(count)
138	4부터 6까지 자연수를 쓰려고 합니다. 숫자 9는 모두 몇 번 써야 합니까?	count = 0\nfor i in range(4, 6+1):\n    count += str(i).count('정수3>')\nprint(count)
139	9부터 4까지 자연수를 쓰려고 합니다. 숫자 3는 모두 몇 번 써야 합니까?	count = 0\nfor i in range(9, 4+1):\n    count += str(i).count('정수3>')\nprint(count)
140	0, 9, 4, 5, 6 중 서로 다른 2개의 숫자를 뽑아서 두 자리 수를 만들려고 합니다. 만들 수 있는 두 자리 수는 모두 몇 개입니까?	x = sorted(combinations(sorted([0,9,4,5,6]),2))\na = len(x) * 2\ny = sorted(combinations(sorted([9,4,5,6]),1))nb = len(y)\nprint(a - b)
141	0, 7, 6, 5, 9 중 서로 다른 2개의 숫자를 뽑아서 두 자리 수를 만들려고 합니다. 만들 수 있는 두 자리 수는 모두 몇 개입니까?	x = sorted(combinations(sorted([0,7,6,5,9]),2))\na = len(x) * 2\ny = sorted(combinations(sorted([7,6,5,9]),1))nb = len(y)\nprint(a - b)
142	0, 4, 2, 1, 9 중 서로 다른 2개의 숫자를 뽑아서 두 자리 수를 만들려고 합니다. 만들 수 있는 두 자리 수는 모두 몇 개입니까?	x = sorted(combinations(sorted([0,4,2,1,9]),2))\na = len(x) * 2\ny = sorted(combinations(sorted([4,2,1,9]),1))nb = len(y)\nprint(a - b)
143	0, 4, 7, 9, 5 중 서로 다른 2개의 숫자를 뽑아서 두 자리 수를 만들려고 합니다. 만들 수 있는 두 자리 수는 모두 몇 개입니까?	x = sorted(combinations(sorted([0,4,7,9,5]),2))\na = len(x) * 2\ny = sorted(combinations(sorted([4,7,9,5]),1))nb = len(y)\nprint(a - b)
144	0, 9, 3, 7, 6 중 서로 다른 2개의 숫자를 뽑아서 두 자리 수를 만들려고 합니다. 만들 수 있는 두 자리 수는 모두 몇 개입니까?	x = sorted(combinations(sorted([0,9,3,7,6]),2))\na = len(x) * 2\ny = sorted(combinations(sorted([9,3,7,6]),1))nb = len(y)\nprint(a - b)
145	10보다 작은 자연수 중에서 서로 다른 세 수를 동시에 뽑으려고 합니다. 세 수의 합이 9인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 3)\nfor i in x:\n    if i[0] + i[1] + i[2] == 9:\n        count +=1\nprint(count)
146	10보다 작은 자연수 중에서 서로 다른 세 수를 동시에 뽑으려고 합니다. 세 수의 합이 5인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 3)\nfor i in x:\n    if i[0] + i[1] + i[2] == 5:\n        count +=1\nprint(count)
147	10보다 작은 자연수 중에서 서로 다른 세 수를 동시에 뽑으려고 합니다. 세 수의 합이 20인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 3)\nfor i in x:\n    if i[0] + i[1] + i[2] == 20:\n        count +=1\nprint(count)
148	10보다 작은 자연수 중에서 서로 다른 세 수를 동시에 뽑으려고 합니다. 세 수의 합이 19인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 3)\nfor i in x:\n    if i[0] + i[1] + i[2] == 19:\n        count +=1\nprint(count)
149	10보다 작은 자연수 중에서 서로 다른 세 수를 동시에 뽑으려고 합니다. 세 수의 합이 9인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 3)\nfor i in x:\n    if i[0] + i[1] + i[2] == 9:\n        count +=1\nprint(count)
150	10보다 작은 자연수 중에서 서로 다른 두 수를 동시에 뽑으려고 합니다. 두 수의 합이 2인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 2)\nfor i in x:\n    if i[0] + i[1] == 2:\n        count +=1\nprint(count)
151	10보다 작은 자연수 중에서 서로 다른 두 수를 동시에 뽑으려고 합니다. 두 수의 합이 8인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 2)\nfor i in x:\n    if i[0] + i[1] == 8:\n        count +=1\nprint(count)
152	10보다 작은 자연수 중에서 서로 다른 두 수를 동시에 뽑으려고 합니다. 두 수의 합이 9인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 2)\nfor i in x:\n    if i[0] + i[1] == 9:\n        count +=1\nprint(count)
153	10보다 작은 자연수 중에서 서로 다른 두 수를 동시에 뽑으려고 합니다. 두 수의 합이 3인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 2)\nfor i in x:\n    if i[0] + i[1] == 3:\n        count +=1\nprint(count)
154	10보다 작은 자연수 중에서 서로 다른 두 수를 동시에 뽑으려고 합니다. 두 수의 합이 9인 경우의 수를 구하시오.	count = 0\nx = combinations([i for i in range(1,10)], 2)\nfor i in x:\n    if i[0] + i[1] == 9:\n        count +=1\nprint(count)
155	20, 78, 65, 26가 있습니다. 그중에서 가장 큰 수에서 가장 작은 수를 뺀 값은 얼마입니까?	l = [20, 78, 65, 26]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a - b)
156	4, 52, 37, 92가 있습니다. 그중에서 가장 큰 수에서 가장 작은 수를 뺀 값은 얼마입니까?	l = [4, 52, 37, 92]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a - b)
157	15, 85, 38, 98가 있습니다. 그중에서 가장 큰 수에서 가장 작은 수를 뺀 값은 얼마입니까?	l = [15, 85, 38, 98]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a - b)
158	50, 2, 58, 74가 있습니다. 그중에서 가장 큰 수에서 가장 작은 수를 뺀 값은 얼마입니까?	l = [50, 2, 58, 74]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a - b)
159	50, 14, 73, 30가 있습니다. 그중에서 가장 큰 수에서 가장 작은 수를 뺀 값은 얼마입니까?	l = [50, 14, 73, 30]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a - b)
160	82, 94, 88, 83가 있습니다. 그중에서 가장 큰 수와 가장 작은 수를 더한 값은 얼마입니까?	l = [82, 94, 88, 83]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a + b)
161	93, 29, 49, 23가 있습니다. 그중에서 가장 큰 수와 가장 작은 수를 더한 값은 얼마입니까?	l = [93, 29, 49, 23]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a + b)
162	8, 61, 64, 80가 있습니다. 그중에서 가장 큰 수와 가장 작은 수를 더한 값은 얼마입니까?	l = [8, 61, 64, 80]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a + b)
163	85, 97, 92, 30가 있습니다. 그중에서 가장 큰 수와 가장 작은 수를 더한 값은 얼마입니까?	l = [85, 97, 92, 30]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a + b)
164	88, 67, 17, 82가 있습니다. 그중에서 가장 큰 수와 가장 작은 수를 더한 값은 얼마입니까?	l = [88, 67, 17, 82]\na = sorted(l)[-1]\nb = sorted(l[0])\nprint(a + b)
165	0, 5, 7, 1 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([5, 7, 1])\nprint(l[0] * 100 + l[1])
166	0, 4, 9, 3 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([4, 9, 3])\nprint(l[0] * 100 + l[1])
167	0, 1, 2, 4 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([1, 2, 4])\nprint(l[0] * 100 + l[1])
168	0, 8, 4, 6 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([8, 4, 6])\nprint(l[0] * 100 + l[1])
169	0, 1, 3, 4 중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([1, 3, 4])\nprint(l[0] * 100 + l[1])
170	0, 5, 9, 6, 4 중에서 서로 다른 숫자 4개를 뽑아 만들 수 있는 네 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([5, 9, 6, 4])\nprint(l[0] * 1000 + l[1] * 10 + l[2])
171	0, 4, 7, 2, 3 중에서 서로 다른 숫자 4개를 뽑아 만들 수 있는 네 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([4, 7, 2, 3])\nprint(l[0] * 1000 + l[1] * 10 + l[2])
172	0, 1, 2, 4, 6 중에서 서로 다른 숫자 4개를 뽑아 만들 수 있는 네 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([1, 2, 4, 6])\nprint(l[0] * 1000 + l[1] * 10 + l[2])
173	0, 7, 2, 4, 5 중에서 서로 다른 숫자 4개를 뽑아 만들 수 있는 네 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([7, 2, 4, 5])\nprint(l[0] * 1000 + l[1] * 10 + l[2])
174	0, 5, 2, 9, 4 중에서 서로 다른 숫자 4개를 뽑아 만들 수 있는 네 자리 수 중에서 가장 작은 수를 쓰시오.	l = sorted([5, 2, 9, 4])\nprint(l[0] * 1000 + l[1] * 10 + l[2])
175	5개의 수 1.4, 9/10, 1, 0.5, 13/10이 있습니다. 이 중에서 1보다 큰 수는 모두 몇 개입니까?	l1 = [1.4, 9/10, 1, 0.5, 13/10]\l2 = filter(lambda x:x>1, l1)\nprint(len(l2)
176	5개의 수 1.4, 9/10, 1, 0.5, 13/10이 있습니다. 이 중에서 1보다 큰 수는 모두 몇 개입니까?	l1 = [1.4, 9/10, 1, 0.5, 13/10]\l2 = filter(lambda x:x>1, l1)\nprint(len(l2)
177	5개의 수 1.4, 9/10, 1, 0.5, 13/10이 있습니다. 이 중에서 1보다 큰 수는 모두 몇 개입니까?	l1 = [1.4, 9/10, 1, 0.5, 13/10]\l2 = filter(lambda x:x>1, l1)\nprint(len(l2)
178	5개의 수 1.4, 9/10, 1, 0.5, 13/10이 있습니다. 이 중에서 1보다 큰 수는 모두 몇 개입니까?	l1 = [1.4, 9/10, 1, 0.5, 13/10]\l2 = filter(lambda x:x>1, l1)\nprint(len(l2)
179	5개의 수 1.4, 9/10, 1, 0.5, 13/10이 있습니다. 이 중에서 1보다 큰 수는 모두 몇 개입니까?	l1 = [1.4, 9/10, 1, 0.5, 13/10]\l2 = filter(lambda x:x>1, l1)\nprint(len(l2)
180	5개의 수 6/5, 0.84, 1.3, 8/6, 0.06이 있습니다. 이 중에서 1.5보다 큰 수는 모두 몇 개입니까?	l1 = [6/5, 0.84, 1.3, 8/6, 0.06]\l2 = filter(lambda x:x>1.5, l1)\nprint(len(l2)
181	5개의 수 6/5, 0.84, 1.3, 8/6, 0.06이 있습니다. 이 중에서 1.5보다 큰 수는 모두 몇 개입니까?	l1 = [6/5, 0.84, 1.3, 8/6, 0.06]\l2 = filter(lambda x:x>1.5, l1)\nprint(len(l2)
182	5개의 수 6/5, 0.84, 1.3, 8/6, 0.06이 있습니다. 이 중에서 1.5보다 큰 수는 모두 몇 개입니까?	l1 = [6/5, 0.84, 1.3, 8/6, 0.06]\l2 = filter(lambda x:x>1.5, l1)\nprint(len(l2)
183	5개의 수 6/5, 0.84, 1.3, 8/6, 0.06이 있습니다. 이 중에서 1.5보다 큰 수는 모두 몇 개입니까?	l1 = [6/5, 0.84, 1.3, 8/6, 0.06]\l2 = filter(lambda x:x>1.5, l1)\nprint(len(l2)
184	5개의 수 6/5, 0.84, 1.3, 8/6, 0.06이 있습니다. 이 중에서 1.5보다 큰 수는 모두 몇 개입니까?	l1 = [6/5, 0.84, 1.3, 8/6, 0.06]\l2 = filter(lambda x:x>1.5, l1)\nprint(len(l2)
185	남준가 책을 펼쳤는데 두 쪽수의 합이 79이었습니다. 남준가 펼친 두 쪽수중 큰 수를 쓰시오.	(79 + 1) / 2
186	할머니가 책을 펼쳤는데 두 쪽수의 합이 100이었습니다. 할머니가 펼친 두 쪽수중 큰 수를 쓰시오.	(100 + 1) / 2
187	윤기가 책을 펼쳤는데 두 쪽수의 합이 82이었습니다. 윤기가 펼친 두 쪽수중 큰 수를 쓰시오.	(82 + 1) / 2
188	남준가 책을 펼쳤는데 두 쪽수의 합이 49이었습니다. 남준가 펼친 두 쪽수중 큰 수를 쓰시오.	(49 + 1) / 2
189	아버지가 책을 펼쳤는데 두 쪽수의 합이 54이었습니다. 아버지가 펼친 두 쪽수중 큰 수를 쓰시오.	(54 + 1) / 2
190	은지가 책을 펼쳤는데 두 쪽수의 합이 38이었습니다. 은지가 펼친 두 쪽수중 작은 수를 쓰시오.	(38 - 1) / 2
191	조카가 책을 펼쳤는데 두 쪽수의 합이 41이었습니다. 조카가 펼친 두 쪽수중 작은 수를 쓰시오.	(41 - 1) / 2
192	정국가 책을 펼쳤는데 두 쪽수의 합이 56이었습니다. 정국가 펼친 두 쪽수중 작은 수를 쓰시오.	(56 - 1) / 2
193	민영가 책을 펼쳤는데 두 쪽수의 합이 89이었습니다. 민영가 펼친 두 쪽수중 작은 수를 쓰시오.	(89 - 1) / 2
194	어머니가 책을 펼쳤는데 두 쪽수의 합이 89이었습니다. 어머니가 펼친 두 쪽수중 작은 수를 쓰시오.	(89 - 1) / 2
195	어떤 소수의 소수점을 왼쪽으로 두 자리 옮기면 원래의 소수보다 0.051만큼작아집니다. 원래의 소수를 구하시오.	0.051 / (1 - math.pow(0.1, 2))
196	어떤 소수의 소수점을 왼쪽으로 두 자리 옮기면 원래의 소수보다 0.051만큼작아집니다. 원래의 소수를 구하시오.	0.051 / (1 - math.pow(0.1, 2))
197	어떤 소수의 소수점을 왼쪽으로 두 자리 옮기면 원래의 소수보다 1.64만큼작아집니다. 원래의 소수를 구하시오.	1.64 / (1 - math.pow(0.1, 2))
198	어떤 소수의 소수점을 왼쪽으로 두 자리 옮기면 원래의 소수보다 1.6만큼작아집니다. 원래의 소수를 구하시오.	1.6 / (1 - math.pow(0.1, 2))
199	어떤 소수의 소수점을 왼쪽으로 두 자리 옮기면 원래의 소수보다 1.51만큼작아집니다. 원래의 소수를 구하시오.	1.51 / (1 - math.pow(0.1, 2))
200	어떤 소수의 소수점을 왼쪽으로 세 자리 옮기면 원래의 소수보다 1.6만큼작아집니다. 원래의 소수를 구하시오.	1.6 / (1 - math.pow(0.1, 3))
201	어떤 소수의 소수점을 왼쪽으로 세 자리 옮기면 원래의 소수보다 0.36만큼작아집니다. 원래의 소수를 구하시오.	0.36 / (1 - math.pow(0.1, 3))
202	어떤 소수의 소수점을 왼쪽으로 세 자리 옮기면 원래의 소수보다 6.516만큼작아집니다. 원래의 소수를 구하시오.	6.516 / (1 - math.pow(0.1, 3))
203	어떤 소수의 소수점을 왼쪽으로 세 자리 옮기면 원래의 소수보다 1.12만큼작아집니다. 원래의 소수를 구하시오.	1.12 / (1 - math.pow(0.1, 3))
204	어떤 소수의 소수점을 왼쪽으로 세 자리 옮기면 원래의 소수보다 0.36만큼작아집니다. 원래의 소수를 구하시오.	0.36 / (1 - math.pow(0.1, 3))
205	A, B는 한 자리 수입니다. A는 3보다 9 큰 수이고, B보다 4 작은 수는 5입니다. A와 B의 합을 구하시오.	3 + 9 + 4 + 5
206	A, B는 한 자리 수입니다. A는 7보다 10 큰 수이고, B보다 2 작은 수는 3입니다. A와 B의 합을 구하시오.	7 + 10 + 2 + 3
207	A, B는 한 자리 수입니다. A는 1보다 8 큰 수이고, B보다 7 작은 수는 3입니다. A와 B의 합을 구하시오.	1 + 8 + 7 + 3
208	A, B는 한 자리 수입니다. A는 10보다 2 큰 수이고, B보다 9 작은 수는 8입니다. A와 B의 합을 구하시오.	10 + 2 + 9 + 8
209	A, B는 한 자리 수입니다. A는 8보다 5 큰 수이고, B보다 3 작은 수는 4입니다. A와 B의 합을 구하시오.	8 + 5 + 3 + 4
210	서로 다른 두 수 A, B가 있습니다. 두 자리 수끼리의 뺄셈식 10A-B7=52에서 A와 B의 합을 구하시오.	2 + 7 + 5 + 10
211	서로 다른 두 수 A, B가 있습니다. 두 자리 수끼리의 뺄셈식 9A-B4=810에서 A와 B의 합을 구하시오.	10 + 4 + 8 + 9
